"_time",Image,CommandLine,ParentImage
"2026-05-18T13:08:57.271+0400","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k netprofm -p -s netprofm","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.266+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s UserManager","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.264+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p -s DispBrokerDesktopSvc","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.261+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p -s nsi","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.260+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k UserProfileService -p -s ProfSvc","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.257+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p -s Schedule","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.256+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.254+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.253+0400","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.250+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k GPSvcGroup","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.244+0400","C:\Windows\System32\dwm.exe","""dwm.exe""","C:\Windows\System32\winlogon.exe"
"2026-05-18T13:08:57.244+0400","C:\Windows\System32\LogonUI.exe","""LogonUI.exe"" /flags:0x2 /state0:0xa3be6055 /state1:0x41c64e6d","C:\Windows\System32\winlogon.exe"
"2026-05-18T13:08:57.242+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k DcomLaunch -p -s LSM","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.241+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k RPCSS -p","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.238+0400","C:\Windows\System32\svchost.exe","C:\Windows\system32\svchost.exe -k DcomLaunch -p","C:\Windows\System32\services.exe"
"2026-05-18T13:08:57.225+0400","C:\Windows\System32\lsass.exe","C:\Windows\system32\lsass.exe","C:\Windows\System32\wininit.exe"
"2026-05-18T13:08:57.225+0400","C:\Windows\System32\services.exe","C:\Windows\system32\services.exe","C:\Windows\System32\wininit.exe"
"2026-05-18T13:08:57.224+0400","C:\Windows\System32\winlogon.exe","winlogon.exe","C:\Windows\System32\smss.exe"
"2026-05-18T13:08:57.222+0400","C:\Windows\System32\wininit.exe","wininit.exe","C:\Windows\System32\smss.exe"
"2026-05-18T13:08:57.221+0400","C:\Windows\System32\csrss.exe","%%SystemRoot%%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16","C:\Windows\System32\smss.exe"
"2026-05-18T13:08:57.221+0400","C:\Windows\System32\smss.exe","\SystemRoot\System32\smss.exe 000000f4 000000e4","C:\Windows\System32\smss.exe"
"2026-05-18T13:08:57.206+0400","C:\Windows\System32\csrss.exe","%%SystemRoot%%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16","C:\Windows\System32\smss.exe"
"2026-05-18T13:08:57.203+0400","C:\Windows\System32\smss.exe","\SystemRoot\System32\smss.exe 00000094 000000e4","C:\Windows\System32\smss.exe"
"2026-05-18T13:08:52.686+0400",,,
"2026-05-18T13:05:46.202+0400","C:\Windows\System32\svchost.exe","C:\Windows\System32\svchost.exe -k CameraMonitor","C:\Windows\System32\services.exe"
"2026-05-18T13:05:40.332+0400","C:\Windows\System32\LogonUI.exe","""LogonUI.exe"" /flags:0x4 /state0:0xa3f7c055 /state1:0x41c64e6d","C:\Windows\System32\winlogon.exe"
"2026-05-18T13:04:50.730+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-regmon.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T13:04:49.853+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe"" --ps2","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
"2026-05-18T13:04:49.041+0400","C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe","""C:\Program Files\SplunkUniversalForwarder\bin\splunk-powershell.exe""","C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe"
